u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
53086829,57817874,0,False,tertiary,Westside Drive,270.253,,,,,,,,,,,7870614,
57784737,57790772,0,True,secondary,Crow Canyon Road,82.424,3,,,,,,,,,,393641545,
57784737,57784759,0,True,motorway_link,,459.613,"['1', '2']",,,,,,,,,,"[7852445, 393513637]",
57784759,1222828594,0,True,motorway,Donald D Doyle Highway,308.345,"['5', '4']",,,65 mph,,,,,,,"[393513635, 393513631]",I 680
57784837,577480682,0,True,motorway_link,,14.667,2,,,,,,,,,,393513636,
57784837,3968915295,0,True,secondary,Crow Canyon Road,220.616,"['7', '5', '4']",,,,,,,,,,"[393644832, 47062192, 393644839]",
57785657,57785659,0,False,residential,,20.329,,,,,,,,,,,7852629,
57785657,57785661,0,False,residential,Shadow Mountain Drive,88.165,,,,,,,,,,,7875632,
57785657,57857121,0,False,residential,Shadow Mountain Place,93.348,,,,,,,,,,,7876790,
57785657,57819667,0,False,residential,Shadow Mountain Drive,89.86,,,,,,,,,,,7875632,
57785659,57785657,0,False,residential,,20.329,,,,,,,,,,,7852629,
57785661,57785664,0,False,residential,,20.409,,,,,,,,,,,7852631,
57785661,57785657,0,False,residential,Shadow Mountain Drive,88.165,,,,,,,,,,,7875632,
57785661,57841822,0,False,residential,Shadow Mountain Drive,83.955,,,,,,,,,,,7875632,
57785664,57785661,0,False,residential,,20.409,,,,,,,,,,,7852631,
57789278,57789280,0,False,residential,Whitetail Lane,19.308,,,,,,,,,,,7852985,
57789278,57879571,0,False,residential,Whitetail Lane,19.206,,,,,,,,,,,7866102,
57789278,57879570,0,False,residential,Whitetail Lane,74.745,,,,,,,,,,,7866102,
57789280,57789278,0,False,residential,Whitetail Lane,19.308,,,,,,,,,,,7852985,
57789280,57865825,0,False,residential,Woodborough Way,97.538,,,,,,,,,,,7877254,
57789280,57940090,0,False,residential,Woodborough Way,94.746,,,,,,,,,,,7877254,
57790630,57828928,0,False,residential,Prestige Place,53.918,,,,,,,,,,,7858452,
57790630,57828925,0,False,residential,Prestige Place,4.283,,,,,,,,,,,7858452,
57790630,1855646585,0,False,residential,Radiant Lane,115.212,,,,,,,,,,,"[7853097, 7879137]",
57790649,57909667,0,False,secondary,Crow Canyon Road,331.807,,,,,,,,,,,230528006,
57790649,2390272242,0,True,secondary,Crow Canyon Road,210.814,,,,,,,,,,,230528009,
57790772,577480665,0,True,motorway_link,,24.9,2,,,,,,,,,,393512513,
57790772,355705371,0,True,secondary,Crow Canyon Road,152.145,"['6', '5', '3', '4']",,,,,,,,,,"[393641560, 393641555, 393641548, 393641556]",
57790798,1222828594,0,True,motorway_link,,527.086,1,,,,,,,,,,7853127,
57790798,577480665,0,True,secondary,Crow Canyon Road,102.496,3,,,,,,,,,,31774726,
57791208,417619757,0,False,residential,Lakemont Drive,145.936,,,,,,,,,,,7863122,
57791208,57825539,0,False,residential,"['Lakeview Drive', 'Lakemont Drive']",84.551,,,,,,,,,,,"[233061217, 7863122]",
57791208,417619802,0,False,residential,Echo Place,283.014,,,,,,,,,,,7876823,
57791900,57791901,0,False,residential,,15.731,,,,,,,,,,,7853283,
57791900,57875275,0,False,residential,Santander Drive,71.584,,,,,,,,,,,7865343,
57791900,57811465,0,False,residential,Santander Drive,103.575,,,,,,,,,,,7865343,
57791901,57791900,0,False,residential,,15.731,,,,,,,,,,,7853283,
57793424,57894362,0,False,residential,Carillo Court,91.381,,,,,,,,,,,7868763,
57793424,57815590,0,False,residential,Twin Creeks Drive,158.258,,,,,,,,,,,7874167,
57793424,57819662,0,False,residential,Twin Creeks Drive,106.199,,,,,,,,,,,7874167,
57793428,57924256,0,False,residential,Twin Creeks Drive,98.73,,,,,,,,,,,7874167,
57793428,57793430,0,False,residential,Canyon Creek,71.421,,,,,,,,,,,7853452,
57793428,57924253,0,False,residential,Twin Creeks Drive,106.962,,,,,,,,,,,7874167,
57793430,57793428,0,False,residential,Canyon Creek,71.421,,,,,,,,,,,7853452,
57795946,57795947,0,False,residential,,19.795,,,,,,,,,,,7853749,
57795946,57875459,0,False,residential,Santander Drive,100.163,,,,,,,,,,,7865343,
57795946,57875275,0,False,residential,Santander Drive,78.82,,,,,,,,,,,7865343,
57795947,57795946,0,False,residential,,19.795,,,,,,,,,,,7853749,
57796002,57796003,0,False,residential,,25.913,,,,,,,,,,,7853758,
57796002,57798033,0,False,residential,East Shoreview Drive,80.95,,,,,,,,,,,7854803,
57796002,57803867,0,False,residential,East Shoreview Drive,206.462,,,,,,,,,,,7854803,
57796003,57796002,0,False,residential,,25.913,,,,,,,,,,,7853758,
57796003,452903563,0,False,residential,East Shoreview Drive,47.329,,,,,,,,,,,7874783,
57796003,452903716,0,False,residential,East Shoreview Drive,169.136,,,,,,,,,,,7874783,
57796174,258146744,0,True,motorway_link,,426.343,"['1', '2']",,,,,,,,,,"[393833000, 7853785, 393833008, 393832996]",
57796180,258145969,0,True,motorway_link,,402.241,"['1', '3', '2']",,,,,,,,,,"[393850697, 393850689, 7853786]",
57796180,355698380,0,True,tertiary,Alcosta Boulevard,283.096,"['2', '4']",,,,,,yes,,,,"[393878667, 393880605, 31774198, 31774214]",
57797355,57797357,0,False,residential,,37.233,,,,,,,,,,,7853918,
57797355,417619873,0,False,residential,West Lakeshore Drive,259.084,,,,,,,,,,,7869173,
57797355,417620298,0,False,residential,East Lakeshore Drive,505.218,,,,,,,,,,,7877747,
57797357,57797355,0,False,residential,,37.233,,,,,,,,,,,7853918,
57797357,57814208,0,False,residential,Lakeview Drive,53.383,,,,,,,,,,,233061217,
57797357,57831882,0,False,residential,Lakeview Drive,70.562,,,,,,,,,,,233061217,
57798033,57798034,0,False,residential,,16.506,,,,,,,,,,,7853969,
57798033,57803867,0,False,residential,East Shoreview Drive,373.968,,,,,,,,,,,7854803,
57798033,57796002,0,False,residential,East Shoreview Drive,80.95,,,,,,,,,,,7854803,
57798034,57798033,0,False,residential,,16.506,,,,,,,,,,,7853969,
57799912,57799913,0,False,residential,,20.168,,,,,,,,,,,7854304,
57799912,57829036,0,False,residential,Corral Circle,195.044,,,,,,,,,,,7860372,
57799912,57828143,0,False,residential,Corral Circle,92.774,,,,,,,,,,,7860372,
57799913,57799912,0,False,residential,,20.168,,,,,,,,,,,7854304,
57802246,57803471,0,False,residential,Old Ranch Estates Drive,87.662,,,,,,,,,,,575489943,
57802246,57802257,0,False,residential,Knollcrest Court,136.848,,,,,,,,,,,7854593,
57802246,57880260,0,False,residential,Shireoaks Court,95.044,,,,,,,,,,,7866197,
57802246,57923231,0,False,residential,Blackthorne Court,89.046,,,,,,,,,,,7873993,
57802257,57802246,0,False,residential,Knollcrest Court,136.848,,,,,,,,,,,7854593,
57802521,57802522,0,False,residential,Marsh Place,84.879,,,,,,,,,,,7854623,
57802521,57933998,0,False,residential,Marsh Drive,91.396,,,,,,,,,,,7880462,
57802521,2384976318,0,False,residential,Norris Court,84.381,,,,,,,,,,,7858462,
57802521,57887669,0,False,residential,Marsh Drive,227.157,,,,,,,,,,,7880462,
57802522,57802524,0,False,residential,Marsh Place,57.414,,,,,,,,,,,7854623,
57802522,57802521,0,False,residential,Marsh Place,84.879,,,,,,,,,,,7854623,
57802522,57885940,0,False,residential,Marsh Court,50.193,,,,,,,,,,,7867187,
57802524,57802522,0,False,residential,Marsh Place,57.414,,,,,,,,,,,7854623,
57803434,57918007,0,False,residential,Whitehaven Place,73.581,,,,,,,,,,,7872949,
57803434,57811036,0,False,residential,Portillo Valley Drive,303.171,,,,,,,,,,,7855682,
57803434,57803437,0,False,residential,Old Ranch Estates Drive,128.568,,,,,,,,,,,575489943,
57803434,4461068076,0,False,residential,Old Ranch Estates Drive,61.762,,,,,,,,,,,575489943,
57803437,57883826,0,False,residential,Merriwood Place,70.257,,,,,,,,,,,7866804,
57803437,57911316,0,False,residential,Shadelands Place,65.675,,,,,,,,,,,7871676,
57803437,57803441,0,False,residential,Old Ranch Estates Drive,91.125,,,,,,,,,,,575489943,
57803437,57803434,0,False,residential,Old Ranch Estates Drive,128.568,,,,,,,,,,,575489943,
57803441,57827009,0,False,residential,Rustic Place,100.047,,,,,,,,,,,7858132,
57803441,1750224581,0,False,residential,Timbercreek Road,255.639,,,,,,,,,,,7871834,
57803441,57803446,0,False,residential,Old Ranch Estates Drive,79.261,,,,,,,,,,,575489943,
57803441,57803437,0,False,residential,Old Ranch Estates Drive,91.125,,,,,,,,,,,575489943,
57803446,57803450,0,False,residential,Old Ranch Estates Drive,91.398,,,,,,,,,,,575489943,
57803446,57851369,0,False,residential,Ridgepointe Court,98.15,,,,,,,,,,,7861904,
57803446,57909155,0,False,residential,Regency Court,80.726,,,,,,,,,,,7871334,
57803446,57803441,0,False,residential,Old Ranch Estates Drive,79.261,,,,,,,,,,,575489943,
57803450,57889192,0,False,residential,Hawthorn Court,18.188,,,,,,,,,,,7867792,
57803450,57803446,0,False,residential,Old Ranch Estates Drive,91.398,,,,,,,,,,,575489943,
57803450,57943015,0,False,residential,Royal Coach Court,72.517,,,,,,,,,,,7877880,
57803450,57803459,0,False,residential,Old Ranch Estates Drive,89.1,,,,,,,,,,,575489943,
57803459,57830613,0,False,residential,Sunnyside Place,113.524,,,,,,,,,,,7858682,
57803459,57803463,0,False,residential,Old Ranch Estates Drive,88.324,,,,,,,,,,,575489943,
57803459,57803450,0,False,residential,Old Ranch Estates Drive,89.1,,,,,,,,,,,575489943,
57803463,57811584,0,False,residential,Alderwood Lane,98.97,,,,,,,,,,,7855772,
57803463,57803468,0,False,residential,Old Ranch Estates Drive,79.727,,,,,,,,,,,575489943,
57803463,57803459,0,False,residential,Old Ranch Estates Drive,88.324,,,,,,,,,,,575489943,
57803468,57803471,0,False,residential,Old Ranch Estates Drive,86.604,,,,,,,,,,,575489943,
57803468,57803463,0,False,residential,Old Ranch Estates Drive,79.727,,,,,,,,,,,575489943,
57803468,57828635,0,False,residential,Lindell Lane,87.95,,,,,,,,,,,7858399,
57803468,57845375,0,False,residential,Bancroft Place,113.918,,,,,,,,,,,7860918,
57803471,57802246,0,False,residential,Old Ranch Estates Drive,87.662,,,,,,,,,,,575489943,
57803471,57803468,0,False,residential,Old Ranch Estates Drive,86.604,,,,,,,,,,,575489943,
57803471,57887460,0,False,residential,Heatheridge Court,104.793,,,,,,,,,,,7867461,
57803471,57930638,0,False,residential,Holbrook Place,103.867,,,,,,,,,,,7875404,
57803778,57803779,0,False,residential,Lewis Court,76.25,,,,,,,,,,,7854792,
57803778,57829856,0,False,residential,Greenwich Drive,78.557,,,,25 mph,,,,,,,7871787,
57803778,57886165,0,False,residential,Greenwich Drive,85.039,,,,25 mph,,,,,,,7871787,
57803778,57912852,0,True,residential,Athens Drive,292.202,,,,,,,,,,,7879813,
57803779,57803778,0,False,residential,Lewis Court,76.25,,,,,,,,,,,7854792,
57803866,4931048982,0,False,residential,East Shoreview Drive,11.449,,,,,,,,,,,7854801,
57803866,57922484,0,False,residential,Shoreline Drive,98.526,,,,,,,,,,,7873868,
57803866,57932708,0,False,residential,Shoreline Circle,26.241,,,,,,,,,,,502720778,
57803866,2390272337,0,False,residential,Shoreline Drive,77.218,,,,,,,,,,,7873868,
57803867,4931048982,0,False,residential,East Shoreview Drive,22.094,,,,,,,,,,,7854801,
57803867,57796002,0,False,residential,East Shoreview Drive,206.462,,,,,,,,,,,7854803,
57803867,57798033,0,False,residential,East Shoreview Drive,373.968,,,,,,,,,,,7854803,
57803915,57803916,0,False,residential,Harness Circle,61.034,,,,,,,,,,,7854810,
57803915,417636380,0,False,residential,Harness Drive,254.286,,,,,,,,,,,7880968,
57803915,57827959,0,False,residential,Harness Drive,101.726,,,,,,,,,,,7880968,
57803916,57803919,0,False,residential,Harness Circle,17.42,,,,,,,,,,,7854810,
57803916,57803919,1,False,residential,Harness Circle,287.865,,,,,,,,,,,7854810,
57803916,57803915,0,False,residential,Harness Circle,61.034,,,,,,,,,,,7854810,
57803919,57803916,0,False,residential,Harness Circle,17.42,,,,,,,,,,,7854810,
57803919,57803916,1,False,residential,Harness Circle,287.865,,,,,,,,,,,7854810,
57803919,417635755,0,False,residential,Harness Court,108.159,,,,,,,,,,,7867566,
57803970,57857002,0,False,residential,Davona Drive,85.348,,,,,,,,,,,230403639,
57803970,57879283,0,False,residential,Davona Drive,75.794,,,,,,,,,,,230403639,
57803970,57803972,0,False,residential,Saint Denis Drive,259.194,,,,,,,,,,,7854819,
57803972,57803974,0,False,residential,Saint Denis Drive,106.348,,,,,,,,,,,7854819,
57803972,57803970,0,False,residential,Saint Denis Drive,259.194,,,,,,,,,,,7854819,
57803972,57855845,0,False,residential,Saint Dennis Court,90.838,,,,,,,,,,,7862521,
57803974,57803975,0,False,residential,Saint Denis Drive,198.389,,,,,,,,,,,7854819,
57803974,57803972,0,False,residential,Saint Denis Drive,106.348,,,,,,,,,,,7854819,
57803974,57908878,0,False,residential,Brunswick Way,134.681,,,,,,,,,,,7876648,
57803974,57942838,0,False,residential,Brunswick Court,222.481,,,,,,,,,,,7877838,
57803975,57803974,0,False,residential,Saint Denis Drive,198.389,,,,,,,,,,,7854819,
57803975,57860732,0,False,residential,Broadmoor Drive,112.815,,,,,,,,,,,233700578,
57803975,57861732,0,False,residential,Broadmoor Drive,79.985,,,,,,,,,,,233700578,
57804434,417627273,0,False,residential,Canyon Green Court,73.743,,,,,,,,,,,7854883,
57804434,442616139,0,False,residential,Canyon Green Place,139.225,,,,,,,,,,,7869795,
57804434,57893894,0,False,residential,Canyon Green Place,81.258,,,,,,,,,,,7869795,
57804542,2389106398,0,False,residential,Camino de Jugar,74.011,,,,,,,,,,,7854896,
57804542,57804544,0,False,residential,Camino de Jugar,139.776,,,,,,,,,,,7854896,
57804542,57931469,0,False,residential,Ascension Drive,221.362,,,,,,,,,,,7876807,
57804544,57804547,0,False,residential,Camino de Jugar,58.911,,,,,,,,,,,7854896,
57804544,57804542,0,False,residential,Camino de Jugar,139.776,,,,,,,,,,,7854896,
57804544,57872115,0,False,residential,Camino Venadillo,194.164,,,,,,,,,,,7864753,
57804547,57804550,0,False,residential,Camino de Jugar,103.917,,,,,,,,,,,7854896,
57804547,57804544,0,False,residential,Camino de Jugar,58.911,,,,,,,,,,,7854896,
57804547,57857779,0,False,residential,Maricaibo Place,193.426,,,,,,,,,,,7862790,
57804550,355637186,0,False,residential,Camino de Jugar,57.079,,,,,,,,,,,7854896,
57804550,57804547,0,False,residential,Camino de Jugar,103.917,,,,,,,,,,,7854896,
57804550,57834427,0,False,residential,Ladera Corte,122.421,,,,,,,,,,,7859322,
57804553,355637186,0,False,residential,Camino de Jugar,14.889,,,,,,,,,,,7854896,
57804553,355637127,0,True,secondary,Bollinger Canyon Road,159.069,,,,,,,,,,,31774518,
57804938,57804941,0,False,residential,Camden Court,29.746,,,,,,,,,,,7854937,
57804938,57880994,0,True,residential,Athens Drive,98.509,,,,,,,,,,,7879812,
57804941,57804938,0,False,residential,Camden Court,29.746,,,,,,,,,,,7854937,
57804958,57861725,0,False,residential,Broadmoor Drive,57.432,,,,,,,,,,,233700578,
57804958,57804960,0,False,residential,Bernard Avenue,140.031,,,,,,,,,,,7854940,
57804958,57861726,0,False,residential,Broadmoor Drive,158.356,,,,,,,,,,,233700578,
57804960,57804963,0,False,residential,Bernard Avenue,166.169,,,,,,,,,,,7854940,
57804960,57895035,0,False,residential,Van Buren Place,76.785,,,,,,,,,,,7868896,
57804960,57804958,0,False,residential,Bernard Avenue,140.031,,,,,,,,,,,7854940,
57804963,57804960,0,False,residential,Bernard Avenue,166.169,,,,,,,,,,,7854940,
57804963,57850870,0,False,residential,Kittery Avenue,142.887,,,,,,,,,,,7877404,
57804963,57940890,0,False,residential,Kittery Avenue,113.713,,,,,,,,,,,7877404,
57805355,57805371,0,False,residential,Berkshire Court,52.727,,,,,,,,,,,7854975,
57805355,2390966607,0,False,residential,Terra Alta Drive,138.263,,,,,,,,,,,7867238,
57805355,57886168,0,False,residential,Terra Alta Drive,280.938,,,,,,,,,,,7867238,
57805371,57805355,0,False,residential,Berkshire Court,52.727,,,,,,,,,,,7854975,
57805656,57805658,0,False,residential,Ridgeview Court,139.942,,,,,,,,,,,7854998,
57805658,57805656,0,False,residential,Ridgeview Court,139.942,,,,,,,,,,,7854998,
57805658,57863288,0,False,residential,Woodview Terrace Drive,91.356,,,,,,,,,,,7866588,
57805658,57848273,0,False,residential,Woodview Terrace Drive,89.729,,,,,,,,,,,7866588,
57805658,57932299,0,False,residential,Hilltop Court,65.38,,,,,,,,,,,7875765,
57805682,57805684,0,False,residential,Winterwind Circle,79.688,,,,,,,,,,,7855004,
57805682,57805690,0,False,residential,Winterwind Circle,62.168,,,,,,,,,,,7855007,
57805682,57922532,0,False,residential,Winterberry Court,27.998,,,,,,,,,,,7873878,
57805684,57805682,0,False,residential,Winterwind Circle,79.688,,,,,,,,,,,7855004,
57805684,57805688,0,False,residential,Winterside Circle,62.482,,,,,,,,,,,7865759,
57805684,57877920,0,False,residential,Winterside Circle,308.115,,,,,,,,,,,7865759,
57805688,57805690,0,False,residential,Winterwind Circle,80.567,,,,,,,,,,,7855006,
57805688,57805684,0,False,residential,Winterside Circle,62.482,,,,,,,,,,,7865759,
57805688,442614063,0,False,residential,Winterwind Court,31.539,,,,,,,,,,,7880154,
57805688,57877906,0,False,residential,Winterside Circle,89.111,,,,,,,,,,,7865759,
57805690,57805688,0,False,residential,Winterwind Circle,80.567,,,,,,,,,,,7855006,
57805690,57805682,0,False,residential,Winterwind Circle,62.168,,,,,,,,,,,7855007,
57805690,57953122,0,False,residential,Winter Hills Court,25.918,,,,,,,,,,,7879817,
57805720,57831882,0,False,residential,Lakeview Circle,54.289,,,,,,,,,,,7874118,
57805720,417620264,0,False,residential,Donner Way,275.429,,,,,,,,,,,7855014,
57805720,417620264,1,False,residential,Lakeview Circle,357.396,,,,,,,,,,,7874118,
57806077,57806081,0,False,residential,Brian Court,139.406,,,,,,,,,,,7855073,
57806081,57913796,0,False,residential,Corrinne Street,144.102,,,,,,,,,,,7872155,
57806081,57806077,0,False,residential,Brian Court,139.406,,,,,,,,,,,7855073,
57806081,57834174,0,False,residential,Corrinne Street,95.79,,,,,,,,,,,7872155,
57806904,2230747114,0,False,residential,Autumnwind Court,62.289,,,,,,,,,,,7855199,
57806904,57907176,0,False,residential,Fallenleaf Circle,83.957,,,,,,,,,,,7875833,
57806904,57894601,0,False,residential,Fallenleaf Circle,254.643,,,,,,,,,,,7875833,
57806951,57806953,0,False,residential,Pinenut Court,131.502,,,,,,,,,,,7855205,
57806951,57935697,0,False,residential,Almond Court,113.037,,,,,,,,,,,7876350,
57806951,57813199,0,False,residential,Broadmoor Drive,83.916,,,,,,,,,,,233700578,
57806951,57861716,0,False,residential,Broadmoor Drive,91.838,,,,,,,,,,,233700578,
57806953,57806951,0,False,residential,Pinenut Court,131.502,,,,,,,,,,,7855205,
57807535,57807537,0,False,residential,Bagado Court,74.463,,,,,,,,,,,7855271,
57807535,355637298,0,False,residential,Ascension Drive,70.81,,,,,,,,,,,7876807,
57807535,57861968,0,False,residential,Ascension Drive,100.283,,,,,,,,,,,7876807,
57807535,57901466,0,False,residential,Barranca Court,136.809,,,,,,,,,,,7869983,
57807537,57807535,0,False,residential,Bagado Court,74.463,,,,,,,,,,,7855271,
57808330,57808331,0,False,residential,Yale Court,28.308,,,,,,,,,,,7855364,
57808331,57808330,0,False,residential,Yale Court,28.308,,,,,,,,,,,7855364,
57808331,57843977,0,False,residential,Northland Place,138.333,,,,,,,,,,,7860705,
57808331,57843975,0,False,residential,Northland Place,139.969,,,,,,,,,,,7860705,
57808456,57933504,0,False,residential,Tom Court,30.435,,,,,,,,,,,7875962,
57808456,57808458,0,False,residential,Boxford Place,143.818,,,,,,,,,,,7855383,
57808456,57822506,0,False,residential,Pine Valley Road,76.364,,,,,,,,,,,7866659,
57808456,57882974,0,False,residential,Pine Valley Road,333.724,,,,,,,,,,,7866659,
57808458,57808456,0,False,residential,Boxford Place,143.818,,,,,,,,,,,7855383,
57809288,57809289,0,False,residential,Munras Place,127.04,,,,,,,,,,,7855508,
57809288,57821271,0,False,residential,Mangos Drive,74.938,,,,,,,,,,,7860873,
57809288,57845188,0,False,residential,Mangos Drive,76.679,,,,,,,,,,,7860873,
57809289,57809288,0,False,residential,Munras Place,127.04,,,,,,,,,,,7855508,
57809670,57809678,0,False,residential,Sage Circle,82.775,,,,,,,,,,,7855547,
57809670,57811896,0,False,residential,Derby Drive,114.857,,,,,,,,,,,7855814,
57809670,57811885,0,False,residential,Derby Drive,201.235,,,,,,,,,,,7855814,
57809678,57837412,0,False,residential,Tumble Weed Court,82.112,,,,,,,,,,,7859781,
57809678,57809681,0,False,residential,Sage Circle,69.409,,,,,,,,,,,7855547,
57809678,57809670,0,False,residential,Sage Circle,82.775,,,,,,,,,,,7855547,
57809681,57809686,0,False,residential,Sage Circle,137.177,,,,,,,,,,,7855547,
57809681,57809678,0,False,residential,Sage Circle,69.409,,,,,,,,,,,7855547,
57809681,57846143,0,False,residential,Mesquite Lane,94.395,,,,,,,,,,,7861018,
57809686,57837060,0,False,residential,Yucca Court,40.423,,,,,,,,,,,7859714,
57809686,57809688,0,False,residential,Sage Circle,74.709,,,,,,,,,,,7855547,
57809686,57809681,0,False,residential,Sage Circle,137.177,,,,,,,,,,,7855547,
57809688,57809686,0,False,residential,Sage Circle,74.709,,,,,,,,,,,7855547,
57809688,57858386,0,False,tertiary,Morgan Drive,261.909,,,,,,,,,,,7862856,
57809688,57811896,0,False,tertiary,Morgan Drive,115.184,,,,,,,,,,,7862856,
57810049,57810051,0,False,residential,Lynn Court,120.768,,,,,,,,,,,7855600,
57810049,57916915,0,False,residential,Marlboro Way,110.526,,,,,,,,,,,7872777,
57810049,57916911,0,False,residential,Marlboro Way,45.514,,,,,,,,,,,7872777,
57810051,57810049,0,False,residential,Lynn Court,120.768,,,,,,,,,,,7855600,
57810055,57865086,0,False,residential,Plumpointe Lane,45.161,,,,,,,,,,,7863784,
57810055,2390272264,0,False,residential,Indian Rice Road,51.56,,,,,,,,,,,7855601,
57810055,57865094,0,False,residential,Plumpointe Lane,72.304,,,,,,,,,,,7863784,
57810055,4931096713,0,False,residential,Indian Rice Road,51.255,,,,,,,,,,,502727142,
57810057,2390272264,0,False,residential,Indian Rice Road,15.268,,,,,,,,,,,7855601,
57810057,57810061,0,False,residential,Indian Rice Road,68.56,,,,,,,,,,,7855601,
57810057,57810064,0,True,secondary,Crow Canyon Road,176.227,,,,,,,,,,,230492130,
57810061,57893274,0,False,residential,Goldenrod Lane,166.996,,,,,,,,,,,7877892,
57810061,57810057,0,False,residential,Indian Rice Road,68.56,,,,,,,,,,,7855601,
57810061,57931156,0,False,residential,Goldenrod Lane,168.885,,,,,,,,,,,7877892,
57810061,4931096714,0,False,residential,Indian Rice Road,67.544,,,,,,,,,,,502727142,
57810064,2420413612,0,True,secondary,Crow Canyon Road,15.661,,,,,,,,,,,575505211,
57810868,57876371,0,False,residential,Ona Court,28.411,,,,,,,,,,,7865467,
57810868,57810870,0,False,residential,Biddleford Drive,143.119,,,,,,,,,,,7855654,
57810868,57810877,0,False,residential,Biddleford Drive,162.631,,,,,,,,,,,7855654,
57810870,57810873,0,False,residential,Biddleford Drive,81.366,,,,,,,,,,,7855654,
57810870,57901445,0,False,residential,Prentiss Place,83.098,,,,,,,,,,,7869981,
57810870,57810868,0,False,residential,Biddleford Drive,143.119,,,,,,,,,,,7855654,
57810873,57810870,0,False,residential,Biddleford Drive,81.366,,,,,,,,,,,7855654,
57810873,57830787,0,False,residential,Foxcroft Place,74.138,,,,,,,,,,,7858721,
57810873,57810876,0,False,residential,Biddleford Drive,141.201,,,,,,,,,,,7855654,
57810876,57953984,0,False,residential,Bath Court,28.2,,,,,,,,,,,7880014,
57810876,57810879,0,False,residential,Biddleford Drive,121.818,,,,,,,,,,,7855654,
57810876,57810873,0,False,residential,Biddleford Drive,141.201,,,,,,,,,,,7855654,
57810877,57894597,0,False,residential,Westchester Drive,78.896,,,,,,,,,,,7873034,
57810877,57890026,0,False,residential,Westchester Drive,75.819,,,,,,,,,,,7873034,
57810877,57810868,0,False,residential,Biddleford Drive,162.631,,,,,,,,,,,7855654,
57810877,57831899,0,False,residential,Gorham Place,200.212,,,,,,,,,,,7869249,
57810879,57861729,0,False,residential,Westchester Drive,79.131,,,,,,,,,,,7873034,
57810879,57918400,0,False,residential,Westchester Drive,73.058,,,,,,,,,,,7873034,
57810879,57810876,0,False,residential,Biddleford Drive,121.818,,,,,,,,,,,7855654,
57810879,57817190,0,False,residential,Calais Drive,212.991,,,,,,,,,,,7858904,
57811036,57955262,0,False,residential,Morning Hills Court,80.842,,,,,,,,,,,7880263,
57811036,57811044,0,False,residential,Portillo Valley Drive,85.955,,,,,,,,,,,7855682,
57811036,57803434,0,False,residential,Portillo Valley Drive,303.171,,,,,,,,,,,7855682,
57811044,57823689,0,False,residential,Pleasant Valley Court,24.705,,,,,,,,,,,7857616,
57811044,57811050,0,False,residential,Portillo Valley Drive,181.485,,,,,,,,,,,7855682,
57811044,57811036,0,False,residential,Portillo Valley Drive,85.955,,,,,,,,,,,7855682,
57811050,57821890,0,False,residential,Rubicon Valley Court,30.964,,,,,,,,,,,7857299,
57811050,57887011,0,False,residential,"['Wildflower Valley Court', 'Portillo Valley Drive']",99.434,,,,,,,,,,,"[7867377, 7855682]",
57811050,57811044,0,False,residential,Portillo Valley Drive,181.485,,,,,,,,,,,7855682,
57811219,57811226,0,False,residential,Wineberry Drive,125.214,,,,,,,,,,,7855714,
57811219,57844189,0,False,residential,North Chanterella Drive,76.006,,,,,,,,,,,7860746,
57811219,57844184,0,False,residential,North Chanterella Drive,86.754,,,,,,,,,,,7860746,
57811226,57811219,0,False,residential,Wineberry Drive,125.214,,,,,,,,,,,7855714,
57811226,57936300,0,False,residential,Watercress Place,210.489,,,,,,,,,,,7876569,
57811226,417634970,0,False,residential,Watercress Place,51.025,,,,,,,,,,,7876569,
57811455,57811458,0,False,residential,Lakemont Way,79.548,,,,,,,,,,,7855762,
57811455,57860108,0,False,residential,Lakemont Drive,87.733,,,,,,,,,,,7863122,
57811455,57860169,0,False,residential,Lakemont Drive,115.298,,,,,,,,,,,7863122,
57811458,57811455,0,False,residential,Lakemont Way,79.548,,,,,,,,,,,7855762,
57811458,417623395,0,False,residential,Lakemont Drive,66.01,,,,,,,,,,,7863122,
57811458,57860108,0,False,residential,Lakemont Drive,398.81,,,,,,,,,,,7863122,
57811465,57811466,0,False,residential,Condado Court,44.709,,,,,,,,,,,7855765,
57811465,57875445,0,False,residential,Santander Drive,78.684,,,,,,,,,,,7865343,
57811465,57791900,0,False,residential,Santander Drive,103.575,,,,,,,,,,,7865343,
57811466,57811465,0,False,residential,Condado Court,44.709,,,,,,,,,,,7855765,
57811584,57803463,0,False,residential,Alderwood Lane,98.97,,,,,,,,,,,7855772,
57811650,57811652,0,False,residential,Laramie Avenue,76.596,,,,,,,,,,,7855784,
57811650,57916437,0,False,residential,Etna Court,40.178,,,,,,,,,,,7872685,
57811650,57890011,0,False,residential,Davona Drive,89.944,,,,,,,,,,,7867939,
57811650,57886964,0,False,residential,Davona Drive,167.545,,,,,,,,,,,7867939,
57811652,57811654,0,False,residential,Laramie Avenue,74.455,,,,,,,,,,,7855784,
57811652,57811650,0,False,residential,Laramie Avenue,76.596,,,,,,,,,,,7855784,
57811652,57822153,0,False,residential,Eden Place,92.052,,,,,,,,,,,7857358,
57811654,57811655,0,False,residential,Laramie Avenue,81.164,,,,,,,,,,,7855784,
57811654,57811652,0,False,residential,Laramie Avenue,74.455,,,,,,,,,,,7855784,
